"BFS_NR","GEBIET_NAME","INDIKATOR_JAHR","INDIKATOR_VALUE","EINHEIT_LANG","column13"
"1","Aeugst a.A.","2010","606","Anzahl",""
"1","Aeugst a.A.","2011","604","Anzahl",""
"1","Aeugst a.A.","2012","593","Anzahl",""
"1","Aeugst a.A.","2013","591","Anzahl",""
"1","Aeugst a.A.","2014","590","Anzahl",""
"1","Aeugst a.A.","2015","601","Anzahl",""
"1","Aeugst a.A.","2016","592","Anzahl",""
"2","Affoltern a.A.","2010","496","Anzahl",""
"2","Affoltern a.A.","2011","498","Anzahl",""
"2","Affoltern a.A.","2012","515","Anzahl",""
"2","Affoltern a.A.","2013","516","Anzahl",""
"2","Affoltern a.A.","2014","518","Anzahl",""
"2","Affoltern a.A.","2015","525","Anzahl",""
"2","Affoltern a.A.","2016","521","Anzahl",""
"3","Bonstetten","2010","504","Anzahl",""
"3","Bonstetten","2011","500","Anzahl",""
"3","Bonstetten","2012","507","Anzahl",""
"3","Bonstetten","2013","505","Anzahl",""
"3","Bonstetten","2014","502","Anzahl",""
"3","Bonstetten","2015","505","Anzahl",""
"3","Bonstetten","2016","513","Anzahl",""
"4","Hausen a.A.","2010","548","Anzahl",""
"4","Hausen a.A.","2011","545","Anzahl",""
"4","Hausen a.A.","2012","562","Anzahl",""
"4","Hausen a.A.","2013","566","Anzahl",""
"4","Hausen a.A.","2014","576","Anzahl",""
"4","Hausen a.A.","2015","576","Anzahl",""
"4","Hausen a.A.","2016","582","Anzahl",""
"5","Hedingen","2010","498","Anzahl",""
"5","Hedingen","2011","510","Anzahl",""
"5","Hedingen","2012","523","Anzahl",""
"5","Hedingen","2013","527","Anzahl",""
"5","Hedingen","2014","523","Anzahl",""
"5","Hedingen","2015","522","Anzahl",""
"5","Hedingen","2016","528","Anzahl",""
"6","Kappel a.A.","2010","549","Anzahl",""
"6","Kappel a.A.","2011","547","Anzahl",""
"6","Kappel a.A.","2012","554","Anzahl",""
"6","Kappel a.A.","2013","582","Anzahl",""
"6","Kappel a.A.","2014","591","Anzahl",""
"6","Kappel a.A.","2015","576","Anzahl",""
"6","Kappel a.A.","2016","577","Anzahl",""
"7","Knonau","2010","475","Anzahl",""
"7","Knonau","2011","479","Anzahl",""
"7","Knonau","2012","502","Anzahl",""
"7","Knonau","2013","492","Anzahl",""
"7","Knonau","2014","497","Anzahl",""
"7","Knonau","2015","512","Anzahl",""
"7","Knonau","2016","504","Anzahl",""
"8","Maschwanden","2010","556","Anzahl",""
"8","Maschwanden","2011","574","Anzahl",""
"8","Maschwanden","2012","565","Anzahl",""
"8","Maschwanden","2013","588","Anzahl",""
"8","Maschwanden","2014","583","Anzahl",""
"8","Maschwanden","2015","578","Anzahl",""
"8","Maschwanden","2016","572","Anzahl",""
"9","Mettmenstetten","2010","517","Anzahl",""
"9","Mettmenstetten","2011","536","Anzahl",""
"9","Mettmenstetten","2012","551","Anzahl",""
"9","Mettmenstetten","2013","548","Anzahl",""
"9","Mettmenstetten","2014","554","Anzahl",""
"9","Mettmenstetten","2015","562","Anzahl",""
"9","Mettmenstetten","2016","557","Anzahl",""
"10","Obfelden","2010","545","Anzahl",""
"10","Obfelden","2011","552","Anzahl",""
"10","Obfelden","2012","559","Anzahl",""
"10","Obfelden","2013","560","Anzahl",""
"10","Obfelden","2014","562","Anzahl",""
"10","Obfelden","2015","566","Anzahl",""
"10","Obfelden","2016","577","Anzahl",""
"11","Ottenbach","2010","583","Anzahl",""
"11","Ottenbach","2011","590","Anzahl",""
"11","Ottenbach","2012","590","Anzahl",""
"11","Ottenbach","2013","593","Anzahl",""
"11","Ottenbach","2014","608","Anzahl",""
"11","Ottenbach","2015","614","Anzahl",""
"11","Ottenbach","2016","615","Anzahl",""
"12","Rifferswil","2010","527","Anzahl",""
"12","Rifferswil","2011","523","Anzahl",""
"12","Rifferswil","2012","550","Anzahl",""
"12","Rifferswil","2013","557","Anzahl",""
"12","Rifferswil","2014","558","Anzahl",""
"12","Rifferswil","2015","561","Anzahl",""
"12","Rifferswil","2016","535","Anzahl",""
"13","Stallikon","2010","654","Anzahl",""
"13","Stallikon","2011","641","Anzahl",""
"13","Stallikon","2012","646","Anzahl",""
"13","Stallikon","2013","644","Anzahl",""
"13","Stallikon","2014","626","Anzahl",""
"13","Stallikon","2015","633","Anzahl",""
"13","Stallikon","2016","615","Anzahl",""
"14","Wettswil a.A.","2010","588","Anzahl",""
"14","Wettswil a.A.","2011","584","Anzahl",""
"14","Wettswil a.A.","2012","596","Anzahl",""
"14","Wettswil a.A.","2013","601","Anzahl",""
"14","Wettswil a.A.","2014","596","Anzahl",""
"14","Wettswil a.A.","2015","605","Anzahl",""
"14","Wettswil a.A.","2016","598","Anzahl",""
"21","Adlikon","2010","660","Anzahl",""
"21","Adlikon","2011","681","Anzahl",""
"21","Adlikon","2012","661","Anzahl",""
"21","Adlikon","2013","710","Anzahl",""
"21","Adlikon","2014","710","Anzahl",""
"21","Adlikon","2015","759","Anzahl",""
"21","Adlikon","2016","705","Anzahl",""
"22","Benken","2010","599","Anzahl",""
"22","Benken","2011","578","Anzahl",""
"22","Benken","2012","624","Anzahl",""
"22","Benken","2013","657","Anzahl",""
"22","Benken","2014","624","Anzahl",""
"22","Benken","2015","635","Anzahl",""
"22","Benken","2016","623","Anzahl",""
"23","Berg a.I.","2010","636","Anzahl",""
"23","Berg a.I.","2011","663","Anzahl",""
"23","Berg a.I.","2012","683","Anzahl",""
"23","Berg a.I.","2013","685","Anzahl",""
"23","Berg a.I.","2014","694","Anzahl",""
"23","Berg a.I.","2015","696","Anzahl",""
"23","Berg a.I.","2016","714","Anzahl",""
"24","Buch a.I.","2010","623","Anzahl",""
"24","Buch a.I.","2011","609","Anzahl",""
"24","Buch a.I.","2012","598","Anzahl",""
"24","Buch a.I.","2013","630","Anzahl",""
"24","Buch a.I.","2014","627","Anzahl",""
"24","Buch a.I.","2015","657","Anzahl",""
"24","Buch a.I.","2016","633","Anzahl",""
"25","Dachsen","2010","501","Anzahl",""
"25","Dachsen","2011","503","Anzahl",""
"25","Dachsen","2012","506","Anzahl",""
"25","Dachsen","2013","520","Anzahl",""
"25","Dachsen","2014","521","Anzahl",""
"25","Dachsen","2015","507","Anzahl",""
"25","Dachsen","2016","528","Anzahl",""
"26","Dorf","2010","614","Anzahl",""
"26","Dorf","2011","626","Anzahl",""
"26","Dorf","2012","645","Anzahl",""
"26","Dorf","2013","651","Anzahl",""
"26","Dorf","2014","666","Anzahl",""
"26","Dorf","2015","661","Anzahl",""
"26","Dorf","2016","681","Anzahl",""
"27","Feuerthalen","2010","469","Anzahl",""
"27","Feuerthalen","2011","475","Anzahl",""
"27","Feuerthalen","2012","488","Anzahl",""
"27","Feuerthalen","2013","494","Anzahl",""
"27","Feuerthalen","2014","493","Anzahl",""
"27","Feuerthalen","2015","492","Anzahl",""
"27","Feuerthalen","2016","483","Anzahl",""
"28","Flaach","2010","596","Anzahl",""
"28","Flaach","2011","609","Anzahl",""
"28","Flaach","2012","659","Anzahl",""
"28","Flaach","2013","663","Anzahl",""
"28","Flaach","2014","654","Anzahl",""
"28","Flaach","2015","659","Anzahl",""
"28","Flaach","2016","658","Anzahl",""
"29","Flurlingen","2010","483","Anzahl",""
"29","Flurlingen","2011","483","Anzahl",""
"29","Flurlingen","2012","493","Anzahl",""
"29","Flurlingen","2013","500","Anzahl",""
"29","Flurlingen","2014","506","Anzahl",""
"29","Flurlingen","2015","492","Anzahl",""
"29","Flurlingen","2016","474","Anzahl",""
"30","Andelfingen","2010","562","Anzahl",""
"30","Andelfingen","2011","581","Anzahl",""
"30","Andelfingen","2012","575","Anzahl",""
"30","Andelfingen","2013","586","Anzahl",""
"30","Andelfingen","2014","572","Anzahl",""
"30","Andelfingen","2015","563","Anzahl",""
"30","Andelfingen","2016","562","Anzahl",""
"31","Henggart","2010","529","Anzahl",""
"31","Henggart","2011","522","Anzahl",""
"31","Henggart","2012","526","Anzahl",""
"31","Henggart","2013","532","Anzahl",""
"31","Henggart","2014","541","Anzahl",""
"31","Henggart","2015","533","Anzahl",""
"31","Henggart","2016","539","Anzahl",""
"32","Humlikon","2010","577","Anzahl",""
"32","Humlikon","2011","590","Anzahl",""
"32","Humlikon","2012","577","Anzahl",""
"32","Humlikon","2013","585","Anzahl",""
"32","Humlikon","2014","591","Anzahl",""
"32","Humlikon","2015","566","Anzahl",""
"32","Humlikon","2016","587","Anzahl",""
"33","Kleinandelfingen","2010","608","Anzahl",""
"33","Kleinandelfingen","2011","608","Anzahl",""
"33","Kleinandelfingen","2012","615","Anzahl",""
"33","Kleinandelfingen","2013","622","Anzahl",""
"33","Kleinandelfingen","2014","625","Anzahl",""
"33","Kleinandelfingen","2015","612","Anzahl",""
"33","Kleinandelfingen","2016","621","Anzahl",""
"34","Laufen-Uhwiesen","2010","540","Anzahl",""
"34","Laufen-Uhwiesen","2011","548","Anzahl",""
