"BFS_NR","GEBIET_NAME","INDIKATOR_JAHR","INDIKATOR_VALUE","AVG_Unfaelle_pro_Ort","Summe_aller_Unfaelle_pro_ort","EINHEIT_KURZ"
"1","Aeugst a.A.","2010","3.3","4.5","31.5","pro 1000 Einw."
"1","Aeugst a.A.","2011","6.8","4.5","31.5","pro 1000 Einw."
"1","Aeugst a.A.","2012","4.6","4.5","31.5","pro 1000 Einw."
"1","Aeugst a.A.","2013","5.1","4.5","31.5","pro 1000 Einw."
"1","Aeugst a.A.","2014","4.1","4.5","31.5","pro 1000 Einw."
"1","Aeugst a.A.","2015","3.0","4.5","31.5","pro 1000 Einw."
"1","Aeugst a.A.","2016","4.6","4.5","31.5","pro 1000 Einw."
"2","Affoltern a.A.","2010","9.0","8.26","57.8","pro 1000 Einw."
"2","Affoltern a.A.","2011","8.1","8.26","57.8","pro 1000 Einw."
"2","Affoltern a.A.","2012","7.5","8.26","57.8","pro 1000 Einw."
"2","Affoltern a.A.","2013","7.1","8.26","57.8","pro 1000 Einw."
"2","Affoltern a.A.","2014","7.9","8.26","57.8","pro 1000 Einw."
"2","Affoltern a.A.","2015","8.6","8.26","57.8","pro 1000 Einw."
"2","Affoltern a.A.","2016","9.6","8.26","57.8","pro 1000 Einw."
"3","Bonstetten","2010","7.2","5.73","40.1","pro 1000 Einw."
"3","Bonstetten","2011","5.4","5.73","40.1","pro 1000 Einw."
"3","Bonstetten","2012","5.8","5.73","40.1","pro 1000 Einw."
"3","Bonstetten","2013","5.7","5.73","40.1","pro 1000 Einw."
"3","Bonstetten","2014","6.1","5.73","40.1","pro 1000 Einw."
"3","Bonstetten","2015","5.3","5.73","40.1","pro 1000 Einw."
"3","Bonstetten","2016","4.6","5.73","40.1","pro 1000 Einw."
"4","Hausen a.A.","2010","6.2","4.87","34.1","pro 1000 Einw."
"4","Hausen a.A.","2011","4.2","4.87","34.1","pro 1000 Einw."
"4","Hausen a.A.","2012","3.6","4.87","34.1","pro 1000 Einw."
"4","Hausen a.A.","2013","4.7","4.87","34.1","pro 1000 Einw."
"4","Hausen a.A.","2014","4.3","4.87","34.1","pro 1000 Einw."
"4","Hausen a.A.","2015","5.8","4.87","34.1","pro 1000 Einw."
"4","Hausen a.A.","2016","5.3","4.87","34.1","pro 1000 Einw."
"5","Hedingen","2010","5.9","4.77","33.4","pro 1000 Einw."
"5","Hedingen","2011","4.9","4.77","33.4","pro 1000 Einw."
"5","Hedingen","2012","3.4","4.77","33.4","pro 1000 Einw."
"5","Hedingen","2013","3.1","4.77","33.4","pro 1000 Einw."
"5","Hedingen","2014","6.3","4.77","33.4","pro 1000 Einw."
"5","Hedingen","2015","6.3","4.77","33.4","pro 1000 Einw."
"5","Hedingen","2016","3.5","4.77","33.4","pro 1000 Einw."
"6","Kappel a.A.","2010","6.5","6.4","44.8","pro 1000 Einw."
"6","Kappel a.A.","2011","9.5","6.4","44.8","pro 1000 Einw."
"6","Kappel a.A.","2012","10.8","6.4","44.8","pro 1000 Einw."
"6","Kappel a.A.","2013","9.4","6.4","44.8","pro 1000 Einw."
"6","Kappel a.A.","2014","1.0","6.4","44.8","pro 1000 Einw."
"6","Kappel a.A.","2015","4.9","6.4","44.8","pro 1000 Einw."
"6","Kappel a.A.","2016","2.7","6.4","44.8","pro 1000 Einw."
"7","Knonau","2010","12.2","10.46","73.2","pro 1000 Einw."
"7","Knonau","2011","9.5","10.46","73.2","pro 1000 Einw."
"7","Knonau","2012","12.6","10.46","73.2","pro 1000 Einw."
"7","Knonau","2013","5.5","10.46","73.2","pro 1000 Einw."
"7","Knonau","2014","12.3","10.46","73.2","pro 1000 Einw."
"7","Knonau","2015","10.0","10.46","73.2","pro 1000 Einw."
"7","Knonau","2016","11.1","10.46","73.2","pro 1000 Einw."
"8","Maschwanden","2010","13.1","3.63","25.4","pro 1000 Einw."
"8","Maschwanden","2011","1.6","3.63","25.4","pro 1000 Einw."
"8","Maschwanden","2012","0.0","3.63","25.4","pro 1000 Einw."
"8","Maschwanden","2013","6.0","3.63","25.4","pro 1000 Einw."
"8","Maschwanden","2014","1.5","3.63","25.4","pro 1000 Einw."
"8","Maschwanden","2015","1.6","3.63","25.4","pro 1000 Einw."
"8","Maschwanden","2016","1.6","3.63","25.4","pro 1000 Einw."
"9","Mettmenstetten","2010","6.8","7.59","53.1","pro 1000 Einw."
"9","Mettmenstetten","2011","9.1","7.59","53.1","pro 1000 Einw."
"9","Mettmenstetten","2012","7.7","7.59","53.1","pro 1000 Einw."
"9","Mettmenstetten","2013","4.8","7.59","53.1","pro 1000 Einw."
"9","Mettmenstetten","2014","8.7","7.59","53.1","pro 1000 Einw."
"9","Mettmenstetten","2015","8.6","7.59","53.1","pro 1000 Einw."
"9","Mettmenstetten","2016","7.4","7.59","53.1","pro 1000 Einw."
"10","Obfelden","2010","11.5","11.36","79.5","pro 1000 Einw."
"10","Obfelden","2011","12.8","11.36","79.5","pro 1000 Einw."
"10","Obfelden","2012","9.3","11.36","79.5","pro 1000 Einw."
"10","Obfelden","2013","13.6","11.36","79.5","pro 1000 Einw."
"10","Obfelden","2014","10.2","11.36","79.5","pro 1000 Einw."
"10","Obfelden","2015","10.8","11.36","79.5","pro 1000 Einw."
"10","Obfelden","2016","11.3","11.36","79.5","pro 1000 Einw."
"11","Ottenbach","2010","4.1","4.63","32.4","pro 1000 Einw."
"11","Ottenbach","2011","5.3","4.63","32.4","pro 1000 Einw."
"11","Ottenbach","2012","5.6","4.63","32.4","pro 1000 Einw."
"11","Ottenbach","2013","6.9","4.63","32.4","pro 1000 Einw."
"11","Ottenbach","2014","4.3","4.63","32.4","pro 1000 Einw."
"11","Ottenbach","2015","3.1","4.63","32.4","pro 1000 Einw."
"11","Ottenbach","2016","3.1","4.63","32.4","pro 1000 Einw."
"12","Rifferswil","2010","6.7","7.97","55.8","pro 1000 Einw."
"12","Rifferswil","2011","7.5","7.97","55.8","pro 1000 Einw."
"12","Rifferswil","2012","7.3","7.97","55.8","pro 1000 Einw."
"12","Rifferswil","2013","10.4","7.97","55.8","pro 1000 Einw."
"12","Rifferswil","2014","9.0","7.97","55.8","pro 1000 Einw."
"12","Rifferswil","2015","4.7","7.97","55.8","pro 1000 Einw."
"12","Rifferswil","2016","10.2","7.97","55.8","pro 1000 Einw."
"13","Stallikon","2010","9.8","7.07","49.5","pro 1000 Einw."
"13","Stallikon","2011","8.3","7.07","49.5","pro 1000 Einw."
"13","Stallikon","2012","7.9","7.07","49.5","pro 1000 Einw."
"13","Stallikon","2013","6.9","7.07","49.5","pro 1000 Einw."
"13","Stallikon","2014","3.0","7.07","49.5","pro 1000 Einw."
"13","Stallikon","2015","7.3","7.07","49.5","pro 1000 Einw."
"13","Stallikon","2016","6.3","7.07","49.5","pro 1000 Einw."
"14","Wettswil a.A.","2010","9.1","7.71","54","pro 1000 Einw."
"14","Wettswil a.A.","2011","7.0","7.71","54","pro 1000 Einw."
"14","Wettswil a.A.","2012","9.0","7.71","54","pro 1000 Einw."
"14","Wettswil a.A.","2013","8.4","7.71","54","pro 1000 Einw."
"14","Wettswil a.A.","2014","5.9","7.71","54","pro 1000 Einw."
"14","Wettswil a.A.","2015","7.5","7.71","54","pro 1000 Einw."
"14","Wettswil a.A.","2016","7.1","7.71","54","pro 1000 Einw."
"21","Adlikon","2010","27.7","23.54","164.8","pro 1000 Einw."
"21","Adlikon","2011","27.6","23.54","164.8","pro 1000 Einw."
"21","Adlikon","2012","26.7","23.54","164.8","pro 1000 Einw."
"21","Adlikon","2013","26.2","23.54","164.8","pro 1000 Einw."
"21","Adlikon","2014","27.9","23.54","164.8","pro 1000 Einw."
"21","Adlikon","2015","16.6","23.54","164.8","pro 1000 Einw."
"21","Adlikon","2016","12.1","23.54","164.8","pro 1000 Einw."
"22","Benken","2010","10.0","12.19","85.3","pro 1000 Einw."
"22","Benken","2011","18.3","12.19","85.3","pro 1000 Einw."
"22","Benken","2012","10.9","12.19","85.3","pro 1000 Einw."
"22","Benken","2013","7.2","12.19","85.3","pro 1000 Einw."
"22","Benken","2014","13.3","12.19","85.3","pro 1000 Einw."
"22","Benken","2015","12.8","12.19","85.3","pro 1000 Einw."
"22","Benken","2016","12.8","12.19","85.3","pro 1000 Einw."
"23","Berg a.I.","2010","1.7","4.94","34.6","pro 1000 Einw."
"23","Berg a.I.","2011","6.8","4.94","34.6","pro 1000 Einw."
"23","Berg a.I.","2012","1.7","4.94","34.6","pro 1000 Einw."
"23","Berg a.I.","2013","10.4","4.94","34.6","pro 1000 Einw."
"23","Berg a.I.","2014","5.2","4.94","34.6","pro 1000 Einw."
