BFS_NR,GEBIET_NAME,INDIKATOR_JAHR,Anzahl_Unfaelle,AVG_Unfaelle_pro_Ort,Summe_aller_Unfaelle_pro_ort,Autos_pro_Jahr,AVG_Autos,EINHEIT_LANG
0,Bezirk Affoltern,2010,8.1,7.29,51,536,548.7,Anzahl
0,Bezirk Affoltern,2011,7.6,7.29,51,539,548.7,Anzahl
0,Bezirk Affoltern,2012,7.1,7.29,51,550,548.7,Anzahl
0,Bezirk Affoltern,2013,7.0,7.29,51,551,548.7,Anzahl
0,Bezirk Affoltern,2014,6.8,7.29,51,552,548.7,Anzahl
0,Bezirk Affoltern,2015,7.2,7.29,51,557,548.7,Anzahl
0,Bezirk Affoltern,2016,7.2,7.29,51,556,548.7,Anzahl
0,Bezirk Andelfingen,2010,9.4,8.09,56.6,553,571.7,Anzahl
0,Bezirk Andelfingen,2011,8.0,8.09,56.6,562,571.7,Anzahl
0,Bezirk Andelfingen,2012,7.5,8.09,56.6,571,571.7,Anzahl
0,Bezirk Andelfingen,2013,7.5,8.09,56.6,582,571.7,Anzahl
0,Bezirk Andelfingen,2014,6.9,8.09,56.6,578,571.7,Anzahl
0,Bezirk Andelfingen,2015,8.4,8.09,56.6,577,571.7,Anzahl
0,Bezirk Andelfingen,2016,8.9,8.09,56.6,579,571.7,Anzahl
0,Bezirk Bülach,2010,12.9,12.61,88.3,555,562.1,Anzahl
0,Bezirk Bülach,2011,12.2,12.61,88.3,558,562.1,Anzahl
0,Bezirk Bülach,2012,12.6,12.61,88.3,566,562.1,Anzahl
0,Bezirk Bülach,2013,12.8,12.61,88.3,565,562.1,Anzahl
0,Bezirk Bülach,2014,12.5,12.61,88.3,564,562.1,Anzahl
0,Bezirk Bülach,2015,12.2,12.61,88.3,565,562.1,Anzahl
0,Bezirk Bülach,2016,13.1,12.61,88.3,562,562.1,Anzahl
0,Bezirk Dielsdorf,2010,11.1,10.26,71.8,594,605.9,Anzahl
0,Bezirk Dielsdorf,2011,9.8,10.26,71.8,596,605.9,Anzahl
0,Bezirk Dielsdorf,2012,9.9,10.26,71.8,603,605.9,Anzahl
0,Bezirk Dielsdorf,2013,9.8,10.26,71.8,609,605.9,Anzahl
0,Bezirk Dielsdorf,2014,10.7,10.26,71.8,607,605.9,Anzahl
0,Bezirk Dielsdorf,2015,10.1,10.26,71.8,615,605.9,Anzahl
0,Bezirk Dielsdorf,2016,10.4,10.26,71.8,617,605.9,Anzahl
0,Bezirk Dietikon,2010,12.5,11.79,82.5,530,541.1,Anzahl
0,Bezirk Dietikon,2011,11.0,11.79,82.5,534,541.1,Anzahl
0,Bezirk Dietikon,2012,11.3,11.79,82.5,548,541.1,Anzahl
0,Bezirk Dietikon,2013,12.4,11.79,82.5,549,541.1,Anzahl
0,Bezirk Dietikon,2014,11.4,11.79,82.5,548,541.1,Anzahl
0,Bezirk Dietikon,2015,10.8,11.79,82.5,544,541.1,Anzahl
0,Bezirk Dietikon,2016,13.1,11.79,82.5,535,541.1,Anzahl
0,Bezirk Hinwil,2010,8.6,8.03,56.2,540,553.6,Anzahl
0,Bezirk Hinwil,2011,7.8,8.03,56.2,547,553.6,Anzahl
0,Bezirk Hinwil,2012,7.9,8.03,56.2,554,553.6,Anzahl
0,Bezirk Hinwil,2013,8.0,8.03,56.2,554,553.6,Anzahl
0,Bezirk Hinwil,2014,7.5,8.03,56.2,555,553.6,Anzahl
0,Bezirk Hinwil,2015,8.2,8.03,56.2,560,553.6,Anzahl
0,Bezirk Hinwil,2016,8.2,8.03,56.2,565,553.6,Anzahl
0,Bezirk Horgen,2010,8.1,7.7,53.9,503,507.6,Anzahl
0,Bezirk Horgen,2011,8.1,7.7,53.9,505,507.6,Anzahl
0,Bezirk Horgen,2012,8.0,7.7,53.9,509,507.6,Anzahl
0,Bezirk Horgen,2013,7.8,7.7,53.9,511,507.6,Anzahl
0,Bezirk Horgen,2014,7.6,7.7,53.9,509,507.6,Anzahl
0,Bezirk Horgen,2015,6.9,7.7,53.9,509,507.6,Anzahl
0,Bezirk Horgen,2016,7.4,7.7,53.9,507,507.6,Anzahl
0,Bezirk Meilen,2010,5.6,5.69,39.8,544,544.6,Anzahl
0,Bezirk Meilen,2011,6.0,5.69,39.8,541,544.6,Anzahl
0,Bezirk Meilen,2012,6.7,5.69,39.8,549,544.6,Anzahl
0,Bezirk Meilen,2013,5.6,5.69,39.8,549,544.6,Anzahl
0,Bezirk Meilen,2014,5.3,5.69,39.8,544,544.6,Anzahl
0,Bezirk Meilen,2015,5.4,5.69,39.8,543,544.6,Anzahl
0,Bezirk Meilen,2016,5.2,5.69,39.8,542,544.6,Anzahl
0,Bezirk Pfäffikon,2010,10.0,8.67,60.7,551,562.1,Anzahl
0,Bezirk Pfäffikon,2011,8.2,8.67,60.7,552,562.1,Anzahl
0,Bezirk Pfäffikon,2012,9.1,8.67,60.7,565,562.1,Anzahl
0,Bezirk Pfäffikon,2013,8.7,8.67,60.7,565,562.1,Anzahl
0,Bezirk Pfäffikon,2014,8.3,8.67,60.7,564,562.1,Anzahl
0,Bezirk Pfäffikon,2015,8.2,8.67,60.7,568,562.1,Anzahl
0,Bezirk Pfäffikon,2016,8.2,8.67,60.7,570,562.1,Anzahl
0,Bezirk Uster,2010,9.5,8.69,60.8,537,538.6,Anzahl
0,Bezirk Uster,2011,9.1,8.69,60.8,533,538.6,Anzahl
0,Bezirk Uster,2012,9.0,8.69,60.8,540,538.6,Anzahl
0,Bezirk Uster,2013,8.2,8.69,60.8,541,538.6,Anzahl
0,Bezirk Uster,2014,7.9,8.69,60.8,541,538.6,Anzahl
0,Bezirk Uster,2015,8.3,8.69,60.8,540,538.6,Anzahl
0,Bezirk Uster,2016,8.8,8.69,60.8,538,538.6,Anzahl
0,Bezirk Winterthur,2010,12.8,11.2,78.4,463,467,Anzahl
0,Bezirk Winterthur,2011,11.7,11.2,78.4,462,467,Anzahl
0,Bezirk Winterthur,2012,11.1,11.2,78.4,468,467,Anzahl
0,Bezirk Winterthur,2013,10.8,11.2,78.4,470,467,Anzahl
0,Bezirk Winterthur,2014,10.3,11.2,78.4,468,467,Anzahl
0,Bezirk Winterthur,2015,10.3,11.2,78.4,469,467,Anzahl
0,Bezirk Winterthur,2016,11.4,11.2,78.4,469,467,Anzahl
0,Bezirk Zürich,2010,10.3,10.64,74.5,357,352.1,Anzahl
0,Bezirk Zürich,2011,9.7,10.64,74.5,352,352.1,Anzahl
0,Bezirk Zürich,2012,9.3,10.64,74.5,358,352.1,Anzahl
0,Bezirk Zürich,2013,9.5,10.64,74.5,355,352.1,Anzahl
0,Bezirk Zürich,2014,9.1,10.64,74.5,351,352.1,Anzahl
0,Bezirk Zürich,2015,12.1,10.64,74.5,348,352.1,Anzahl
0,Bezirk Zürich,2016,14.5,10.64,74.5,344,352.1,Anzahl
0,Region Furttal,2010,13.4,12.77,89.4,589,601.7,Anzahl
0,Region Furttal,2011,13.2,12.77,89.4,590,601.7,Anzahl
0,Region Furttal,2012,12.8,12.77,89.4,605,601.7,Anzahl
0,Region Furttal,2013,12.8,12.77,89.4,602,601.7,Anzahl
0,Region Furttal,2014,12.6,12.77,89.4,599,601.7,Anzahl
0,Region Furttal,2015,12.8,12.77,89.4,613,601.7,Anzahl
0,Region Furttal,2016,11.8,12.77,89.4,614,601.7,Anzahl
0,Region Glattal,2010,13.7,13,91,558,559.6,Anzahl
0,Region Glattal,2011,13.1,13,91,555,559.6,Anzahl
0,Region Glattal,2012,13.1,13,91,563,559.6,Anzahl
0,Region Glattal,2013,12.9,13,91,564,559.6,Anzahl
0,Region Glattal,2014,12.7,13,91,562,559.6,Anzahl
0,Region Glattal,2015,12.1,13,91,560,559.6,Anzahl
0,Region Glattal,2016,13.4,13,91,555,559.6,Anzahl
0,Region Knonaueramt,2010,8.1,7.29,51,536,548.7,Anzahl
0,Region Knonaueramt,2011,7.6,7.29,51,539,548.7,Anzahl
0,Region Knonaueramt,2012,7.1,7.29,51,550,548.7,Anzahl
0,Region Knonaueramt,2013,7.0,7.29,51,551,548.7,Anzahl
0,Region Knonaueramt,2014,6.8,7.29,51,552,548.7,Anzahl
0,Region Knonaueramt,2015,7.2,7.29,51,557,548.7,Anzahl
0,Region Knonaueramt,2016,7.2,7.29,51,556,548.7,Anzahl
0,Region Limmattal,2010,12.5,11.79,82.5,530,541.1,Anzahl
0,Region Limmattal,2011,11.0,11.79,82.5,534,541.1,Anzahl
0,Region Limmattal,2012,11.3,11.79,82.5,548,541.1,Anzahl
0,Region Limmattal,2013,12.4,11.79,82.5,549,541.1,Anzahl
0,Region Limmattal,2014,11.4,11.79,82.5,548,541.1,Anzahl
0,Region Limmattal,2015,10.8,11.79,82.5,544,541.1,Anzahl
0,Region Limmattal,2016,13.1,11.79,82.5,535,541.1,Anzahl
0,Region Oberland,2010,8.2,7.71,54,531,543.4,Anzahl
0,Region Oberland,2011,7.8,7.71,54,537,543.4,Anzahl
0,Region Oberland,2012,7.5,7.71,54,545,543.4,Anzahl
0,Region Oberland,2013,7.5,7.71,54,545,543.4,Anzahl
0,Region Oberland,2014,7.3,7.71,54,545,543.4,Anzahl
0,Region Oberland,2015,7.8,7.71,54,549,543.4,Anzahl
0,Region Oberland,2016,7.9,7.71,54,552,543.4,Anzahl
0,Region Pfannenstiel,2010,5.8,5.87,41.1,545,546.4,Anzahl
0,Region Pfannenstiel,2011,6.1,5.87,41.1,543,546.4,Anzahl
0,Region Pfannenstiel,2012,6.8,5.87,41.1,550,546.4,Anzahl
0,Region Pfannenstiel,2013,5.6,5.87,41.1,551,546.4,Anzahl
0,Region Pfannenstiel,2014,5.6,5.87,41.1,546,546.4,Anzahl
0,Region Pfannenstiel,2015,5.7,5.87,41.1,545,546.4,Anzahl
0,Region Pfannenstiel,2016,5.5,5.87,41.1,545,546.4,Anzahl
0,Region Unterland,2010,8.2,7.56,52.9,576,586.6,Anzahl
0,Region Unterland,2011,6.7,7.56,52.9,577,586.6,Anzahl
0,Region Unterland,2012,7.5,7.56,52.9,584,586.6,Anzahl
0,Region Unterland,2013,7.4,7.56,52.9,589,586.6,Anzahl
0,Region Unterland,2014,7.5,7.56,52.9,589,586.6,Anzahl
0,Region Unterland,2015,7.7,7.56,52.9,594,586.6,Anzahl
0,Region Unterland,2016,7.9,7.56,52.9,597,586.6,Anzahl
0,Region Weinland,2010,9.4,8.09,56.6,553,571.7,Anzahl
